indice_peak,lambda (nm),wave (cm-1),EW_nm_fixed,EW_nm_auto
171,513.28984,19482.17015166324,0.10010433367938716,0.015244269796194778
172,513.88135,19459.744939177108,0.11832633252842044,0.029354976508551126
173,514.3171500000001,19443.255975422944,0.14705705888136197,0.009433252753189642
174,514.9477,19419.44783907181,0.10312496726663015,0.02692241624901116
175,514.9663400000001,19418.744922240934,0.1057313550687462,0.02692241624901116
176,516.04947,19377.987153053367,0.09473309973056648,0.014729931741007465
177,516.37108,19365.918013843842,0.13777650162808064,0.25525045032067994
178,516.6849500000001,19354.15382236312,0.21034225152571057,0.35355926319728553
179,519.63884,19244.13502270154,0.1298389510454797,0.03318971650567308
180,519.69191,19242.16984636147,0.13510317301482969,0.03318971650567308
181,519.7506500000001,19239.995178457208,0.1351528209911381,0.03318971650567308
182,520.01588,19230.181970596743,0.0960190983850916,0.01018181965512714
183,521.66327,19169.453889287623,0.08927095791445133,0.0376399340481394
184,521.77263,19165.43610192815,0.08269644034410824,0.0376399340481394
185,521.8842,19161.338856397648,0.08094449096966806,0.02281327334609353
186,522.46397,19140.075821879163,0.11299336132241714,0.0029536483810917325
187,522.69809,19131.502852822745,0.12629252186928905,0.07588360678239299
188,522.98323,19121.072008370134,0.15115161515156036,0.07588360678239299
189,523.43971,19104.39695146553,0.10376453411877805,0.06328975652202286
190,524.39504,19069.59303047565,0.04978326446138581,0.00893982870949849
191,524.5236600000001,19064.916919095696,0.057845227442680086,0.00641689563650242
192,524.8511000000001,19053.022847813405,0.07877908710266977,0.0077002088781086536
193,525.16703,19041.560929672225,0.08489441143315615,0.024202832944363366
194,525.2107500000001,19039.975857310612,0.08954860645955418,0.024202832944363366
195,525.4924,19029.770934841305,0.07577750695248087,0.0098020157578242
196,527.10039,18971.7180820147,0.18973048557977026,0.1589456526969897
197,528.3260100000001,18927.70715566322,0.0795632784312859,0.02170941110414763
198,532.3521300000001,18784.559009841847,0.07166582996233521,0.0071317524234961885
199,532.56601,18777.015078374978,0.13049587238935956,0.12489851469118023
200,532.76244,18770.091975703093,0.1349365820103054,0.12489851469118023
201,532.95208,18763.413025801492,0.1425009690432259,0.12489851469118023
202,533.00139,18761.67715059805,0.14270546062267883,0.12489851469118023
203,533.1471700000001,18756.547089990177,0.11653999624810121,0.12489851469118023
204,533.43831,18746.31014034219,0.10550677631522491,0.015468076966883989
205,534.14147,18721.631930207554,0.07300993110200293,0.043267247665445596
206,536.68911,18632.76115291402,0.08718623154143727,0.02305589800861042
207,537.14552,18616.928984160568,0.10107884545833712,0.06062537199940909
208,537.29834,18611.63390156761,0.09156878271014937,0.06062537199940909
209,537.52029,18603.948885352773,0.0813569402042067,0.006795684049425996
210,538.1069900000001,18583.664932507192,0.054431438963597305,0.006315117536683101
211,538.48661,18570.563899444034,0.05402106603577605,0.021795076437598596
212,539.0977700000001,18549.510972749893,0.06161372662140907,0.011524812646756411
213,539.46671,18536.8250063104,0.09291040307436617,0.01784907997132407
